1010,31
1020,20
1030,28
1040,7
1050,11
1060,21
1070,2
1080,18
1090,8
1100,9
1110,6
1120,5
2000,133
2010,22
2030,149
2040,39
2050,36
2060,28
2070,43
2080,37
2090,18
2100,7
2110,3
2120,7
2130,0
2140,3
2150,20
2180,10
2190,8
2200,17
3010,15
3020,24
3030,87
3040,31
3050,22
3060,7
3070,12
3080,7
3090,14
3100,3
3110,49
3120,18
4010,1
4020,3
4030,8
4040,5
4050,5
4060,2
4070,10
4080,1
4090,35
4100,10
4110,11
4120,65
4130,16
4140,7
4150,23
4160,4
4170,4
4180,4
4190,7
4200,36
4210,6
4220,39
4230,88
4240,56
4250,13
4260,0
4270,60
4280,26
4290,33
4300,99
4310,46
4320,18
4330,18
4340,0
4350,31
4360,10
4370,16
4380,3
5010,24
5020,20
5030,1
5040,55
5050,28
5060,0
5070,44
5080,3
5090,4
5100,27
5110,2
5120,27
5130,347
5140,3
5150,135
5160,46
5170,26
5180,88
5190,37
5200,85
5210,38
5220,32
5230,70
5240,73
5250,38
5260,18
5270,12
5280,8
5290,26
5300,1
5310,57
5320,33
5330,50
5340,31
5350,52
5360,63
5370,70
5380,5
6010,18
6020,2
6030,15
6040,4
6050,11
6060,51
6070,21
6080,13
6090,7
6100,34
6110,3
6120,36
6130,14
6140,35
6150,2
6160,14
6170,15
6180,2
6190,26
6200,29
6210,47
6220,13
6230,0
6240,27
6250,15
6260,24
6270,28
6280,6
6290,30
6300,25
6310,10
6320,6
6330,14
6340,0
6350,3
6360,7
7010,222
7020,80
7030,8
7040,7
7050,149
7060,42
7070,31
7080,254
7090,139
8010,27
8020,63
8030,34
8040,30
8050,46
8060,28
8070,16
8080,4
8090,10
8100,6
8110,19
8120,2
9010,121
9020,51
9030,167
9040,362
9050,200
9060,55
9070,128
9080,122
9090,112
9100,85
9110,130
9120,86
9130,192
9140,75
9150,29
9160,43
9170,92
